Date,Time From Epoch(S),Distance(CM),Deltatime(S)
Wed Jan  6 11:35:21 2021,1609961721.7850363,1204.404,0.07022762298583984
Wed Jan  6 11:35:22 2021,1609961722.8591852,1204.526,0.07023477554321289
Wed Jan  6 11:35:23 2021,1609961723.9332592,1204.604,0.07023930549621582
Wed Jan  6 11:35:25 2021,1609961725.0074975,1204.567,0.0702371597290039
Wed Jan  6 11:35:26 2021,1609961726.0816905,1204.465,0.07023119926452637
Wed Jan  6 11:35:27 2021,1609961727.1557784,1204.535,0.0702352523803711
Wed Jan  6 11:35:28 2021,1609961728.2298536,1204.404,0.07022762298583984
Wed Jan  6 11:35:29 2021,1609961729.3040962,1204.567,0.0702371597290039
Wed Jan  6 11:35:30 2021,1609961730.3782942,1204.42,0.07022857666015625
Wed Jan  6 11:35:31 2021,1609961731.4523234,1204.473,0.07023167610168457
Wed Jan  6 11:35:32 2021,1609961732.5264,1204.342,0.07022404670715332
Wed Jan  6 11:35:33 2021,1609961733.600617,1204.265,0.07021951675415039
Wed Jan  6 11:35:34 2021,1609961734.6310701,453.162,0.02642345428466797
Wed Jan  6 11:35:35 2021,1609961735.705293,1204.183,0.07021474838256836
Wed Jan  6 11:35:36 2021,1609961736.714438,87.764,0.0051174163818359375
Wed Jan  6 11:35:37 2021,1609961737.7888927,1204.42,0.07022857666015625
Wed Jan  6 11:35:38 2021,1609961738.8632505,1204.248,0.07021856307983398
Wed Jan  6 11:35:39 2021,1609961739.9375226,1204.355,0.07022476196289062
Wed Jan  6 11:35:41 2021,1609961741.0116823,1204.4,0.07022738456726074
Wed Jan  6 11:35:42 2021,1609961742.086455,1204.351,0.07022452354431152
Wed Jan  6 11:35:43 2021,1609961743.1607234,1204.216,0.07021665573120117
Wed Jan  6 11:35:44 2021,1609961744.23497,1204.277,0.0702202320098877
Wed Jan  6 11:35:45 2021,1609961745.24427,89.89,0.00524139404296875
Wed Jan  6 11:35:46 2021,1609961746.3188093,1204.502,0.07023334503173828
Wed Jan  6 11:35:47 2021,1609961747.3936234,1204.404,0.07022762298583984
Wed Jan  6 11:35:48 2021,1609961748.468349,1204.506,0.07023358345031738
Wed Jan  6 11:35:49 2021,1609961749.542601,1204.453,0.07023048400878906
Wed Jan  6 11:35:50 2021,1609961750.6169662,1204.375,0.07022595405578613
Wed Jan  6 11:35:51 2021,1609961751.6930063,1204.535,0.0702352523803711
Wed Jan  6 11:35:52 2021,1609961752.768599,1204.477,0.07023191452026367
Wed Jan  6 11:35:53 2021,1609961753.8429008,1204.481,0.07023215293884277
Wed Jan  6 11:35:54 2021,1609961754.8788483,545.89,0.0318303108215332
Wed Jan  6 11:35:55 2021,1609961755.8894713,112.489,0.006559133529663086
Wed Jan  6 11:35:56 2021,1609961756.9642332,1204.592,0.07023859024047852
Wed Jan  6 11:35:58 2021,1609961758.0389154,1203.905,0.07019853591918945
Wed Jan  6 11:35:59 2021,1609961759.113105,1204.391,0.07022690773010254
Wed Jan  6 11:36:00 2021,1609961760.1873333,1204.346,0.07022428512573242
Wed Jan  6 11:36:01 2021,1609961761.261599,1204.391,0.07022690773010254
Wed Jan  6 11:36:02 2021,1609961762.2744787,150.205,0.008758306503295898
Wed Jan  6 11:36:03 2021,1609961763.348979,1200.495,0.06999969482421875
Wed Jan  6 11:36:04 2021,1609961764.4240324,1204.338,0.07022380828857422
Wed Jan  6 11:36:05 2021,1609961765.4912362,1097.733,0.06400775909423828
Wed Jan  6 11:36:06 2021,1609961766.5656164,1204.346,0.07022428512573242
Wed Jan  6 11:36:07 2021,1609961767.6400232,1204.363,0.07022523880004883
Wed Jan  6 11:36:08 2021,1609961768.6921382,824.122,0.048053741455078125
Wed Jan  6 11:36:09 2021,1609961769.7664013,1204.302,0.0702216625213623
Wed Jan  6 11:36:10 2021,1609961770.8393893,1176.943,0.06862640380859375
Wed Jan  6 11:36:11 2021,1609961771.9136848,1204.457,0.07023072242736816
Wed Jan  6 11:36:12 2021,1609961772.9880025,1204.379,0.07022619247436523
Wed Jan  6 11:36:14 2021,1609961774.0623236,1204.375,0.07022595405578613
Wed Jan  6 11:36:15 2021,1609961775.071865,91.554,0.005338430404663086
Wed Jan  6 11:36:16 2021,1609961776.1492157,1204.314,0.07022237777709961
Wed Jan  6 11:36:17 2021,1609961777.15851,89.117,0.005196332931518555
Wed Jan  6 11:36:18 2021,1609961778.233025,1204.306,0.0702219009399414
Wed Jan  6 11:36:19 2021,1609961779.3073316,1204.404,0.07022762298583984
Wed Jan  6 11:36:20 2021,1609961780.3815064,1204.351,0.07022452354431152
Wed Jan  6 11:36:21 2021,1609961781.4587588,1204.346,0.07022428512573242
Wed Jan  6 11:36:22 2021,1609961782.4680128,89.129,0.005197048187255859
Wed Jan  6 11:36:23 2021,1609961783.5422082,1204.158,0.07021331787109375
Wed Jan  6 11:36:24 2021,1609961784.616451,1204.285,0.0702207088470459
Wed Jan  6 11:36:25 2021,1609961785.690703,1204.244,0.07021832466125488
Wed Jan  6 11:36:26 2021,1609961786.7821505,1204.158,0.07021331787109375
