Date,Time From Epoch(S),Distance(CM),Deltatime(S)
Wed Jan  6 11:51:18 2021,1609962678.591182,1205.038,0.07026457786560059
Wed Jan  6 11:51:19 2021,1609962679.6652517,1205.242,0.07027649879455566
Wed Jan  6 11:51:20 2021,1609962680.7395678,1205.103,0.07026839256286621
Wed Jan  6 11:51:21 2021,1609962681.813821,1205.042,0.07026481628417969
Wed Jan  6 11:51:22 2021,1609962682.8881118,1205.115,0.07026910781860352
Wed Jan  6 11:51:23 2021,1609962683.9466362,935.45,0.05454516410827637
Wed Jan  6 11:51:25 2021,1609962685.020916,1205.009,0.07026290893554688
Wed Jan  6 11:51:26 2021,1609962686.0952659,1205.406,0.07028603553771973
Wed Jan  6 11:51:27 2021,1609962687.1695466,1205.099,0.07026815414428711
Wed Jan  6 11:51:28 2021,1609962688.2437427,1204.911,0.07025718688964844
Wed Jan  6 11:51:29 2021,1609962689.3205044,1204.96,0.07026004791259766
Wed Jan  6 11:51:30 2021,1609962690.394484,1205.042,0.07026481628417969
Wed Jan  6 11:51:31 2021,1609962691.4230158,424.156,0.024732112884521484
Wed Jan  6 11:51:32 2021,1609962692.4977653,1205.115,0.07026910781860352
Wed Jan  6 11:51:33 2021,1609962693.5585907,973.889,0.056786537170410156
Wed Jan  6 11:51:34 2021,1609962694.6001804,645.102,0.037615299224853516
Wed Jan  6 11:51:35 2021,1609962695.6745508,1205.123,0.07026958465576172
Wed Jan  6 11:51:36 2021,1609962696.7108426,550.126,0.03207731246948242
Wed Jan  6 11:51:37 2021,1609962697.762463,810.53,0.04726123809814453
Wed Jan  6 11:51:38 2021,1609962698.785275,316.954,0.01848125457763672
Wed Jan  6 11:51:39 2021,1609962699.8599339,1205.275,0.07027840614318848
Wed Jan  6 11:51:40 2021,1609962700.934535,1205.07,0.0702664852142334
Wed Jan  6 11:51:42 2021,1609962702.0090673,1205.148,0.07027101516723633
Wed Jan  6 11:51:43 2021,1609962703.083219,1205.197,0.07027387619018555
Wed Jan  6 11:51:44 2021,1609962704.1578846,1205.242,0.07027649879455566
Wed Jan  6 11:51:45 2021,1609962705.2323086,1205.058,0.0702657699584961
Wed Jan  6 11:51:46 2021,1609962706.3065915,1205.046,0.07026505470275879
Wed Jan  6 11:51:47 2021,1609962707.3813572,1205.095,0.07026791572570801
Wed Jan  6 11:51:48 2021,1609962708.4558694,1205.078,0.0702669620513916
Wed Jan  6 11:51:49 2021,1609962709.530524,1205.287,0.07027912139892578
Wed Jan  6 11:51:50 2021,1609962710.604974,1205.156,0.07027149200439453
Wed Jan  6 11:51:51 2021,1609962711.679524,1205.123,0.07026958465576172
Wed Jan  6 11:51:52 2021,1609962712.754096,1205.107,0.07026863098144531
Wed Jan  6 11:51:53 2021,1609962713.8287323,1205.389,0.07028508186340332
Wed Jan  6 11:51:54 2021,1609962714.9027555,1205.177,0.07027268409729004
Wed Jan  6 11:51:55 2021,1609962715.9766178,1205.144,0.07027077674865723
Wed Jan  6 11:51:57 2021,1609962717.0472598,1147.147,0.06688904762268066
Wed Jan  6 11:51:58 2021,1609962718.0808148,509.691,0.02971959114074707
Wed Jan  6 11:51:59 2021,1609962719.1549442,1205.23,0.07027578353881836
Wed Jan  6 11:52:00 2021,1609962720.2290585,1205.185,0.07027316093444824
Wed Jan  6 11:52:01 2021,1609962721.2760618,742.454,0.04329180717468262
Wed Jan  6 11:52:02 2021,1609962722.3307192,872.072,0.05084967613220215
Wed Jan  6 11:52:03 2021,1609962723.390981,968.332,0.05646252632141113
Wed Jan  6 11:52:04 2021,1609962724.4288263,582.6,0.03397083282470703
Wed Jan  6 11:52:05 2021,1609962725.5029335,1205.14,0.07027053833007812
Wed Jan  6 11:52:06 2021,1609962726.548415,710.647,0.04143714904785156
Wed Jan  6 11:52:07 2021,1609962727.6226022,1205.164,0.07027196884155273
Wed Jan  6 11:52:08 2021,1609962728.6967561,1205.181,0.07027292251586914
Wed Jan  6 11:52:09 2021,1609962729.708311,129.654,0.007560014724731445
Wed Jan  6 11:52:10 2021,1609962730.7824676,1205.14,0.07027053833007812
Wed Jan  6 11:52:11 2021,1609962731.8565812,1205.07,0.0702664852142334
Wed Jan  6 11:52:12 2021,1609962732.8793378,325.405,0.01897406578063965
Wed Jan  6 11:52:13 2021,1609962733.9535894,1205.209,0.07027459144592285
Wed Jan  6 11:52:14 2021,1609962734.9781296,350.85,0.020457744598388672
Wed Jan  6 11:52:16 2021,1609962736.052449,1205.242,0.07027649879455566
Wed Jan  6 11:52:17 2021,1609962737.0612907,82.309,0.004799365997314453
Wed Jan  6 11:52:18 2021,1609962738.1353354,1205.193,0.07027363777160645
Wed Jan  6 11:52:19 2021,1609962739.209362,1205.177,0.07027268409729004
Wed Jan  6 11:52:20 2021,1609962740.2835052,1205.217,0.07027506828308105
Wed Jan  6 11:52:21 2021,1609962741.3576033,1205.328,0.0702815055847168
Wed Jan  6 11:52:22 2021,1609962742.431856,1205.389,0.07028508186340332
Wed Jan  6 11:52:23 2021,1609962743.5057707,1205.209,0.07027459144592285
Wed Jan  6 11:52:24 2021,1609962744.5244014,255.629,0.014905452728271484
Wed Jan  6 11:52:25 2021,1609962745.5987406,1205.328,0.0702815055847168
Wed Jan  6 11:52:26 2021,1609962746.6555057,909.522,0.05303335189819336
Wed Jan  6 11:52:27 2021,1609962747.7297423,1205.136,0.07027029991149902
Wed Jan  6 11:52:44 2021,1609962764.4400337,510.239,0.02975153923034668
Wed Jan  6 11:52:45 2021,1609962765.514438,1205.406,0.07028603553771973
Wed Jan  6 11:52:46 2021,1609962766.5890691,1205.426,0.07028722763061523
